Player,Position,Age,Games,Minutes Played,True Shooting(%),Threepoint Attempt rate,Free throw attempt rate,Player Efficiency Rating
Donovan Mitchell,SG,24,27,908,0.559,0.445,0.261,18.9
Adam Mokoka,SG,22,7,42,0.393,0.571,0,5.4
Malik Monk,SG,22,15,316,0.613,0.55,0.167,13
E'Twaun Moore,SG,31,14,227,0.49,0.26,0.11,8.7
Ja Morant,PG,21,16,484,0.544,0.218,0.361,18.7
Juwan Morgan,PF,23,12,64,0.524,0.692,0.231,7.5
Marcus Morris,PF,31,21,524,0.609,0.502,0.185,15
Markieff Morris,PF,31,23,353,0.52,0.667,0.194,8.9
Monte Morris,PG,25,27,701,0.583,0.38,0.205,14.9
Mychal Mulder,PG,26,28,303,0.67,0.857,0.131,11.2
Dejounte Murray,PG,24,27,821,0.512,0.238,0.155,16.4
Jamal Murray,PG,23,26,908,0.557,0.399,0.215,15.8
Mike Muscala,C,29,26,495,0.606,0.692,0.162,14.6
Sviatoslav Mykhailiuk,SF,23,27,417,0.536,0.767,0.16,11.6
Abdel Nader,SF,27,12,172,0.615,0.403,0.29,14.8
Larry Nance Jr.,PF,28,19,635,0.571,0.434,0.145,13.2
Aaron Nesmith,SF,21,13,191,0.489,0.809,0.149,4.4
Raul Neto,PG,28,21,396,0.564,0.404,0.142,13.6
Georges Niang,PF,27,29,381,0.51,0.684,0.037,8.3
Zeke Nnaji,PF,20,15,112,0.652,0.625,0.125,12.5
Nerlens Noel,C,26,25,475,0.57,0.026,0.282,14.3
Jaylen Nowell,SG,21,15,236,0.565,0.414,0.241,15.3
Frank Ntilikina,PG,22,4,42,0.587,0.643,0.214,12.4
Kendrick Nunn,PG,25,20,567,0.577,0.482,0.106,12.3
Jusuf Nurkić,C,26,12,280,0.514,0.117,0.262,16.1
David Nwaba,SF,28,24,560,0.553,0.315,0.298,13.4
Jordan Nwora,SF,22,10,82,0.616,0.432,0.27,12.9
Royce O'Neale,SF,27,29,944,0.635,0.704,0.154,10.5
Semi Ojeleye,PF,26,27,530,0.568,0.703,0.195,9.2
Jahlil Okafor,C,25,12,120,0.595,0.071,0.048,15.6
Chuma Okeke,PF,22,13,282,0.462,0.5,0.103,9.4
Josh Okogie,SG,22,23,467,0.454,0.418,0.345,7.7
Onyeka Okongwu,C,20,9,93,0.556,0,0.632,12.2
Isaac Okoro,SG,20,24,792,0.47,0.376,0.271,5.6
KZ Okpala,PF,21,14,168,0.49,0.613,0.194,3.2
Victor Oladipo,SG,28,20,640,0.501,0.418,0.209,14.5
Victor Oladipo,SG,28,9,300,0.535,0.454,0.243,16
Victor Oladipo,SG,28,11,340,0.475,0.391,0.183,13.2
Kelly Olynyk,C,29,27,703,0.558,0.725,0.092,12
Miye Oni,SG,23,23,185,0.505,0.839,0.194,6
Cedi Osman,SF,25,29,766,0.499,0.559,0.133,11.2
Daniel Oturu,C,21,10,42,0.63,0.067,0.133,21.6
Kelly Oubre Jr.,SF,25,29,853,0.51,0.421,0.226,12.4
Eric Paschall,PF,24,26,459,0.571,0.179,0.313,15
Anžejs Pasečņiks,C,25,1,6,0,1,0,-40.9
Patrick Patterson,PF,31,10,130,0.566,0.737,0.105,8.4
Chris Paul,PG,35,26,843,0.589,0.296,0.204,20.4
Cameron Payne,PG,26,16,275,0.57,0.427,0.101,13.5
Elfrid Payton,PG,26,30,831,0.484,0.158,0.161,11.9
Norvel Pelle,F-C,27,3,28,0.429,0,0,2.1
Reggie Perry,PF,20,14,147,0.455,0.235,0.176,9.7
Theo Pinson,SG,25,9,21,0.143,0.857,0,-9.7
Mason Plumlee,C,30,26,726,0.622,0.027,0.372,17.2
Jakob Poeltl,C,25,27,600,0.582,0,0.29,16.5
Vincent Poirier,C,27,4,18,0.42,0,1.333,10.4
Aleksej Pokusevski,PF,19,17,296,0.301,0.602,0,2.4
Jordan Poole,SG,21,15,143,0.598,0.639,0.311,14.6
Michael Porter Jr.,SF,22,18,486,0.594,0.526,0.155,17.3
Otto Porter,SF,27,16,372,0.582,0.486,0.25,16.5
Bobby Portis,C,25,28,610,0.622,0.246,0.111,20.9
Kristaps Porziņģis,C,25,17,509,0.576,0.387,0.197,21.2
Dwight Powell,C,29,17,277,0.599,0.149,0.957,12.7
Norman Powell,SG,27,26,735,0.609,0.451,0.289,15.3
Taurean Prince,PF,26,27,592,0.541,0.49,0.273,11.7
Taurean Prince,PF,26,12,218,0.565,0.5,0.365,11.7
Taurean Prince,PF,26,15,374,0.525,0.483,0.217,11.7
Payton Pritchard,SG,23,22,472,0.608,0.561,0.094,11.9
Immanuel Quickley,PG,21,26,505,0.553,0.469,0.313,18.4
Jahmi'us Ramsey,SG,19,4,16,0.625,0.75,0,11.5
Chasson Randle,G,27,1,19,0.25,0.5,0,1.3
Julius Randle,PF,26,30,1101,0.589,0.267,0.379,20.7
Cam Reddish,SF,21,24,692,0.498,0.483,0.318,9.3
J.J. Redick,SG,36,25,456,0.558,0.701,0.216,10.1
Paul Reed,PF,21,5,55,0.409,0.136,0,8.6
Naz Reid,C,21,27,581,0.607,0.292,0.252,18.9
Nick Richards,PF,23,8,23,0.637,0,1,13.3
Josh Richardson,SG,27,19,601,0.549,0.5,0.23,11
Austin Rivers,SG,28,21,442,0.545,0.57,0.104,9.7
